sequence,assay,apparatus_first_question,consulted_dynamic_range_quantity,observed_value,acceptable_floor,acceptable_ceiling,criterion_statistic_consulted,change,asymmetry_check,disposition
1,1,"Does the frozen instrument expose nondegenerate dynamic range?","write activation fraction across overwhelm-control grid",0.36,0.05,0.95,false,"none—genome value retained","retained instrument can still fail","range adequate"
2,2,"Does the frozen instrument expose nondegenerate dynamic range?","root endpoint observed range across controllability doses",0.9641002533497899,0.05,1.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
3,3,"Does the frozen instrument expose nondegenerate dynamic range?","configured coordinate variance across four field regimes",0.5106382978723404,0.1,2.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
4,4,"Does the frozen instrument expose nondegenerate dynamic range?","root endpoint span across graph arms",0.9077085674346329,0.05,1.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
5,5,"Does the frozen instrument expose nondegenerate dynamic range?","field-uptake span across regulation cells",1.05407350094237,0.05,2.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
6,6,"Does the frozen instrument expose nondegenerate dynamic range?","generator-family observation-scale span",0.6931810064067049,0.1,2.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
7,7,"Does the frozen instrument expose nondegenerate dynamic range?","imaginal evidence probability range over frozen q(g) domain",0.7,0.5,0.8,false,"none—genome value retained","retained instrument can still fail","range adequate"
8,8,"Does the frozen instrument expose nondegenerate dynamic range?","learned policy-cost variation across histories",0.6037321916602719,0.01,1.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
9,9,"Does the frozen instrument expose nondegenerate dynamic range?","learned competence-posterior span across histories",0.9999977707956522,0.2,1.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
10,10,"Does the frozen instrument expose nondegenerate dynamic range?","root endpoint span across disposition-scaffold cells",0.512930373551441,0.05,1.0,false,"none—genome value retained","retained instrument can still fail","range adequate"
11,10,"Do paired scaffold arms receive the same latent-partner marginal stream?","paired-stream marginal mismatch count across scaffold arms",1.0,0.0,0.0,false,"apparatus repair: generate each disposition stream once and replay it across coupled/decoupled arms","removes an accidental arm difference and therefore makes the interaction easier to fail","software defect repaired before freeze; assay 10 re-pilot required"
12,0,"Does the genome inventory expose every authored numeric degree of freedom in assay-reachable equations?","authored-constant inventory coverage fraction",0.65,1.0,1.0,false,"apparatus repair: move reachable scientific literals into genome.toml without changing their values","inventory-only refactor leaves all failure directions unchanged","software/accounting defect repaired before final all-assay re-pilot"
