truth_family	predicted_family	count
full_bundle	full_bundle	11
full_bundle	reduced_bundle	0
full_bundle	context_global	13
full_bundle	context_cue_local	0
full_bundle	context_split	0
full_bundle	factorized_root	0
full_bundle	shared_root	0
reduced_bundle	full_bundle	0
reduced_bundle	reduced_bundle	18
reduced_bundle	context_global	0
reduced_bundle	context_cue_local	0
reduced_bundle	context_split	6
reduced_bundle	factorized_root	0
reduced_bundle	shared_root	0
context_global	full_bundle	7
context_global	reduced_bundle	0
context_global	context_global	16
context_global	context_cue_local	1
context_global	context_split	0
context_global	factorized_root	0
context_global	shared_root	0
context_cue_local	full_bundle	0
context_cue_local	reduced_bundle	0
context_cue_local	context_global	0
context_cue_local	context_cue_local	23
context_cue_local	context_split	0
context_cue_local	factorized_root	1
context_cue_local	shared_root	0
context_split	full_bundle	0
context_split	reduced_bundle	6
context_split	context_global	0
context_split	context_cue_local	0
context_split	context_split	18
context_split	factorized_root	0
context_split	shared_root	0
factorized_root	full_bundle	0
factorized_root	reduced_bundle	0
factorized_root	context_global	0
factorized_root	context_cue_local	0
factorized_root	context_split	0
factorized_root	factorized_root	24
factorized_root	shared_root	0
shared_root	full_bundle	0
shared_root	reduced_bundle	0
shared_root	context_global	0
shared_root	context_cue_local	0
shared_root	context_split	0
shared_root	factorized_root	0
shared_root	shared_root	24
