constant,uses,assay_local_agent,rationale
assay10_control_rate,"analysis-plan",false,"Caps descent in decoupled and adverse-partner controls."
assay10_interaction_margin,"analysis-plan",false,"Requires a material disposition-by-scaffold descent interaction."
assay10_success_rate,"analysis-plan",false,"Requires descent in most trustworthy-coupled worlds."
assay2_effect_margin,"analysis-plan",false,"Requires a material paired exposure and revision contrast."
assay3_accuracy_threshold,"analysis-plan",false,"Requires the two-axis field to realize nearly all frozen regime cases."
assay3_comparator_margin,"analysis-plan",false,"Requires held-out loss improvement over the capacity-matched one-dimensional comparator."
assay4_transfer_margin,"analysis-plan",false,"Requires untreated-cue transfer beyond numerical root movement."
assay5_equivalence_margin,"analysis-plan",false,"Defines practical equivalence for the regulation-only root shift."
assay5_interaction_margin,"analysis-plan",false,"Requires regulation to materially increase uptake of matched root-relevant evidence."
assay6_false_split_rate,"analysis-plan",false,"Caps context-split selection under misspecified non-split families."
assay6_recovery_rate,"analysis-plan",false,"Requires useful diagonal model recovery across five generator families."
assay7_timing_margin,"analysis-plan",false,"Requires post-revision do-over benefit beyond the suggestion-only comparator."
assay8_registration_margin,"analysis-plan",false,"Requires registered suppression to move the relational prior materially."
assay8_selection_rate,"analysis-plan",false,"Carries forward the historical 16/20 policy-selection rate as a proportion."
assay9_crossover_rate,"analysis-plan",false,"Prospectively requires the risk-model obsolescence sign prediction in most worlds."
assay9_recovery_rate,"analysis-plan",false,"Requires latent partner and competence recovery under noisy learned histories."
avoidance_cost,"shared-equations",false,"Allows working avoidance to compete in the ordinary expected-cost policy layer."
bayes_reliability,"shared-equations",false,"Provides informative but fallible developmental and experimental observations."
classifier_alternating_gap,"",false,"Requires strong alternating evidence for cue-local recovery."
classifier_drift_correlation,"",false,"Requires near-monotone temporal structure for drift recovery."
classifier_drift_jump_ceiling,"",false,"Prevents abrupt change points from being labeled continuous drift."
classifier_global_sd,"",false,"Separates globally down-weighted sequences by observed scale."
classifier_split_jump,"",false,"Requires a material midpoint jump for context-split recovery."
competence_risk_weight,"shared-equations",false,"Retains co-protection as the principal obsolescence-sensitive risk route."
contact_attempt_rate,"",false,"Inherited approximately from Experiment 48's observed contact-attempt frequency."
context_complexity_penalty,"shared-equations",false,"Inherited from Experiment 44b's frozen reduced-model penalty."
context_heldout_margin,"",false,"Inherited from Experiment 44b's frozen held-out model-selection margin."
context_transition_mix,"shared-equations",false,"Allows a learnable then-to-now transition without erasing temporal persistence."
controllability_mid_dose,"",false,"Provides the midpoint for the frozen three-level dose response."
cue_initial_belief,"",false,"Provides a shared neutral-low starting meaning for treated and untreated cues."
cue_negative_step,"",false,"Defines ordinary treated-cue retreat per negative observation."
cue_positive_step,"",false,"Defines ordinary treated-cue uptake per positive observation."
cue_transfer_weight,"",false,"Maps shared-root movement to untreated cue meanings without endpoint assignment."
